copy_file_range(fd_in=7, off_in=4096, fd_out=7, off_out=-2, len=256, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=282, off_in=103, fd_out=30, off_out=1, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=282, off_in=1, fd_out=282, off_out=4096, len=8, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=282, off_in=1, fd_out=289, off_out=4, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=282, off_in=8, fd_out=282, off_out=8, len=71, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=406, off_in=11034, fd_out=24, off_out=8, len=3543, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=406, off_in=0x1200a080, fd_out=19, off_out=0, len=-8192, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=406, off_in=4, fd_out=406, off_out=8, len=-5, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=406, off_in=179, fd_out=301, off_out=8, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=301, off_in=0x19223e10, fd_out=301, off_out=0xe000, len=138, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=301, off_in=2, fd_out=16, off_out=0x180000, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=16, off_in=1, fd_out=20, off_out=4096, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=0xffffaf, fd_out=403, off_out=4096, len=205, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=254, fd_out=403, off_out=68, len=256, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=4, fd_out=399, off_out=4, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=183, off_in=4096, fd_out=183, off_out=7, len=-1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=183, off_in=-9, fd_out=183, off_out=-6, len=0x62525fa, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=183, off_in=2955, fd_out=183, off_out=8, len=0xfffffffffebebebf, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=284, off_in=1, fd_out=286, off_out=4, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=284, off_in=4, fd_out=28, off_out=0, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=284, off_in=250, fd_out=290, off_out=4, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=408, off_in=0, fd_out=408, off_out=0x7ffd, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=408, off_in=-5, fd_out=283, off_out=1, len=4, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=283, off_in=1, fd_out=403, off_out=1, len=8, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=395, off_in=0xff51, fd_out=26, off_out=10794, len=0xe1e377d, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=395, off_in=8, fd_out=395, off_out=0, len=15, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=405, off_in=0x1d1d1, fd_out=25, off_out=4, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=405, off_in=0, fd_out=318, off_out=0x108201, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=405, off_in=1, fd_out=405, off_out=79, len=0, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=405, off_in=4, fd_out=285, off_out=252, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=405, off_in=128, fd_out=405, off_out=3742, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=16, off_in=0xd2d2, fd_out=16, off_out=1, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=16, off_in=8, fd_out=406, off_out=10, len=0, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=406, off_in=8, fd_out=308, off_out=1, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=406, off_in=8, fd_out=29, off_out=1, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=406, off_in=4, fd_out=406, off_out=0xf00000, len=8, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=59, off_in=4096, fd_out=290, off_out=4225, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=59, off_in=219, fd_out=391, off_out=8, len=0, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=59, off_in=8, fd_out=296, off_out=4096, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=59, off_in=8, fd_out=336, off_out=0, len=202, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=59, off_in=8, fd_out=290, off_out=72, len=4096, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=396, off_in=0xffffffffffff0000, fd_out=396, off_out=0x7fffff, len=4, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=293, off_in=83, fd_out=293, off_out=4, len=0, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=293, off_in=4096, fd_out=293, off_out=1, len=8, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=293, off_in=0xff41, fd_out=293, off_out=0xfff6, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=302, off_in=0x8c2000, fd_out=400, off_out=4096, len=246, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=302, off_in=1024, fd_out=360, off_out=0xf9f9, len=4, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=302, off_in=68, fd_out=24, off_out=250, len=12, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=302, off_in=8, fd_out=302, off_out=219, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=302, off_in=1, fd_out=284, off_out=121, len=1, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=190, off_in=26, fd_out=284, off_out=26, len=11001, flags=0x556ec0fb881e) = -1 (Bad address)
copy_file_range(fd_in=190, off_in=0xfffb, fd_out=190, off_out=0x200000, len=4094, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=190, off_in=4096, fd_out=406, off_out=4, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=284, off_in=8, fd_out=284, off_out=0, len=0, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=302, off_in=8, fd_out=302, off_out=4, len=4096, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=302, off_in=0, fd_out=302, off_out=4096, len=4096, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=302, off_in=8, fd_out=29, off_out=8, len=4090, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=29, off_in=0, fd_out=30, off_out=8192, len=208, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=29, off_in=8, fd_out=285, off_out=8, len=70, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=285, off_in=8, fd_out=8, off_out=0x60c4, len=2377, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=285, off_in=1, fd_out=306, off_out=4, len=0x131000, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=306, off_in=-6, fd_out=360, off_out=36, len=0xffff, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=306, off_in=4, fd_out=29, off_out=4096, len=0, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=306, off_in=4096, fd_out=306, off_out=0x7f93, len=0x161616, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=17, off_in=4095, fd_out=17, off_out=1, len=0x4f1a667, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=17, off_in=4096, fd_out=281, off_out=4, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=17, off_in=1, fd_out=287, off_out=8, len=5, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=17, off_in=2143, fd_out=287, off_out=4096, len=1, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=288, off_in=16383, fd_out=328, off_out=18, len=-8192, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=288, off_in=4, fd_out=12, off_out=4, len=4096, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=288, off_in=0xffaf, fd_out=16, off_out=1, len=238, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=288, off_in=8, fd_out=403, off_out=230, len=4096, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=9217, fd_out=292, off_out=-16384, len=4, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=292, off_in=1, fd_out=283, off_out=0, len=0, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=292, off_in=8, fd_out=399, off_out=0xfffff6, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=292, off_in=0, fd_out=15, off_out=1, len=4096, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=7, off_in=8192, fd_out=24, off_out=129, len=1, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=7, off_in=124, fd_out=303, off_out=0x603f, len=128, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=7, off_in=8, fd_out=287, off_out=-5, len=1, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=287, off_in=4096, fd_out=281, off_out=0x757575, len=0xb8b8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=287, off_in=0x8601, fd_out=287, off_out=65, len=4, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=287, off_in=-10, fd_out=248, off_out=146, len=3838, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=248, off_in=0xfffffc, fd_out=248, off_out=4, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=248, off_in=4096, fd_out=248, off_out=4096, len=11, flags=0x0) = -1 (Bad address)
