epoll_ctl(epfd=113, op=0x1, fd=113, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=24, op=0x1, fd=284, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=24, op=0x1, fd=14, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=24, op=0x1, fd=71, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=71, op=0x1, fd=409, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=409, op=0x1, fd=409, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=409, op=0x1, fd=358, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=358, op=0x1, fd=22, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=22, op=0x1, fd=22, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=22, op=0x1, fd=389, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=286, op=0x1, fd=286, event=0x555f77714810) = -1 (Operation not permitted)
epoll_ctl(epfd=286, op=0x1, fd=8, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=17, op=0x1, fd=17, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=17, op=0x1, fd=284, event=0x555f77714810) = 0
epoll_ctl(epfd=248, op=0x3, fd=284, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=15, op=0x3, fd=15, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=15, op=0x3, fd=15, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=13, op=0x3, fd=13, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=15, op=0x3, fd=40, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=15, op=0x3, fd=15, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=15, op=0x3, fd=14, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=14, op=0x3, fd=14, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=287, op=0x3, fd=287, event=0x555f77714810) = -1 (Operation not permitted)
epoll_ctl(epfd=139, op=0x3, fd=139, event=0x555f77714810) = -1 (Invalid argument)
