epoll_pwait(epfd=29, events=0x0, maxevents=186, timeout=7967, sigmask=0xfffffffb, sigsetsize=1) = -1 (Invalid argument)
epoll_pwait(epfd=326, events=0x7fd453898000, maxevents=-6, timeout=53, sigmask=0xe1e1e1e1, sigsetsize=0xff5e9918f3760474) = -1 (Invalid argument)
epoll_pwait(epfd=326, events=0x7fd4557a1000, maxevents=0xffff, timeout=-10, sigmask=1024, sigsetsize=0xfffffff8) = -1 (Invalid argument)
epoll_pwait(epfd=326, events=0x8, maxevents=-10, timeout=0xffff, sigmask=0x9cd45329861d, sigsetsize=0x83d27b4020) = -1 (Invalid argument)
epoll_pwait(epfd=326, events=0x0, maxevents=0xb2fbda92d9e7a6e, timeout=0xfefefefe, sigmask=0xfffd, sigsetsize=0x5d5d5d5d) = -1 (Invalid argument)
epoll_pwait(epfd=326, events=0x7fd453898000, maxevents=12796, timeout=0, sigmask=0x121ff48e10c5c1, sigsetsize=0x8000000) = -1 (Invalid argument)
epoll_pwait(epfd=367, events=0x7fd453898000, maxevents=0x6e6e6e6e, timeout=256, sigmask=0x4a52b000, sigsetsize=0) = -1 (Invalid argument)
epoll_pwait(epfd=367, events=0x1, maxevents=8192, timeout=8, sigmask=85, sigsetsize=0x7a7a7a7a) = -1 (Invalid argument)
epoll_pwait(epfd=367, events=0x8, maxevents=0x27272727, timeout=4096, sigmask=0x43434343, sigsetsize=0xc2c2c2c2) = -1 (Invalid argument)
epoll_pwait(epfd=367, events=0x7fd453698000, maxevents=8192, timeout=0xfffffffffff7ffff, sigmask=-5, sigsetsize=4096) = -1 (Invalid argument)
epoll_pwait(epfd=410, events=0x8, maxevents=0xffffefff, timeout=221, sigmask=239, sigsetsize=0) = -1 (Invalid argument)
epoll_pwait(epfd=410, events=0x7fd453a98000, maxevents=6630, timeout=0x9800fffe, sigmask=0x8000, sigsetsize=0xc051ca51cc0480) = -1 (Invalid argument)
epoll_pwait(epfd=410, events=0x0, maxevents=0xf7af29d67, timeout=187, sigmask=0xb675a235fb, sigsetsize=0x10000) = -1 (Invalid argument)
epoll_pwait(epfd=410, events=0x1, maxevents=190, timeout=-1, sigmask=0x6308956c96, sigsetsize=0x82828282) = -1 (Invalid argument)
epoll_pwait(epfd=410, events=0x0, maxevents=-5, timeout=0x8000, sigmask=0x1646e60dec07f4, sigsetsize=0x5024) = -1 (Invalid argument)
epoll_pwait(epfd=410, events=0x7fd453694000, maxevents=0xffffff4096ef12bb, timeout=80, sigmask=0x1600ff04, sigsetsize=0xd51569e3dd) = -1 (Invalid argument)
epoll_pwait(epfd=324, events=0x7fd453697000, maxevents=1, timeout=0xffff, sigmask=0xcfcfcfcf, sigsetsize=0x8100002d) = -1 (Invalid argument)
epoll_pwait(epfd=324, events=0x1, maxevents=0x7fffffdf, timeout=4096, sigmask=35, sigsetsize=0xfff8) = -1 (Invalid argument)
epoll_pwait(epfd=324, events=0x8, maxevents=110, timeout=0x5656, sigmask=0xfffa, sigsetsize=1024) = -1 (Invalid argument)
epoll_pwait(epfd=324, events=0x7fd4557a2000, maxevents=71, timeout=3324, sigmask=0x5bb81c3f54f88d, sigsetsize=1) = -1 (Invalid argument)
epoll_pwait(epfd=184, events=0x8, maxevents=8, timeout=-5, sigmask=0x8000, sigsetsize=256) = -1 (Invalid argument)
epoll_pwait(epfd=184, events=0x0, maxevents=0xfffffffff4f4f4f4, timeout=-189, sigmask=0x10000d4, sigsetsize=0x3c3c3c3c) = -1 (Invalid argument)
epoll_pwait(epfd=184, events=0x1, maxevents=16, timeout=0xa90e6d30685a, sigmask=22, sigsetsize=0xfffffff9) = -1 (Invalid argument)
epoll_pwait(epfd=307, events=0x0, maxevents=0xae9f5bf59e9ef270, timeout=0x200008, sigmask=0x1022945c78410011, sigsetsize=0x14000034) = -1 (Invalid argument)
epoll_pwait(epfd=307, events=0x0, maxevents=-7, timeout=255, sigmask=163, sigsetsize=4096) = -1 (Invalid argument)
epoll_pwait(epfd=307, events=0x7fd453898000, maxevents=0x7a8298703874af, timeout=0xeb0c, sigmask=2048, sigsetsize=0x200000) = -1 (Invalid argument)
epoll_pwait(epfd=307, events=0x7fd453698000, maxevents=4054, timeout=64, sigmask=0x100010111, sigsetsize=-9) = -1 (Invalid argument)
epoll_pwait(epfd=307, events=0x1, maxevents=1024, timeout=-129, sigmask=0x82828282, sigsetsize=214) = -1 (Invalid argument)
epoll_pwait(epfd=7, events=0x7fd453d98000, maxevents=0xfffc, timeout=8, sigmask=-2, sigsetsize=0x20000000) = -1 (Invalid argument)
epoll_pwait(epfd=7, events=0x7fd453898000, maxevents=0x26118283a47583, timeout=0x5c5c5c5c, sigmask=0xbbbbbbbb, sigsetsize=0x77756f2c6c40d62b) = -1 (Invalid argument)
epoll_pwait(epfd=7, events=0x7fd453898000, maxevents=0, timeout=0x206255149a, sigmask=-127, sigsetsize=43) = -1 (Invalid argument)
epoll_pwait(epfd=7, events=0x1, maxevents=0x8000, timeout=88, sigmask=0x800000, sigsetsize=0x6918220ba0102108) = -1 (Invalid argument)
epoll_pwait(epfd=7, events=0x7fd453a98000, maxevents=-2, timeout=0x2089010, sigmask=0xff75, sigsetsize=0) = -1 (Invalid argument)
epoll_pwait(epfd=7, events=0x1, maxevents=60, timeout=158, sigmask=0xf3f3f3f3, sigsetsize=186) = -1 (Invalid argument)
epoll_pwait(epfd=394, events=0x7fd453693000, maxevents=207, timeout=1576, sigmask=0x24242424, sigsetsize=0xffff) = -1 (Invalid argument)
epoll_pwait(epfd=394, events=0x8, maxevents=146, timeout=0x6d008008, sigmask=0xe4300a0249a7, sigsetsize=512) = -1 (Invalid argument)
epoll_pwait(epfd=394, events=0x7fd453694000, maxevents=0xef8b8b8b, timeout=0xe2e3b84ce99b65, sigmask=0x108d6ddd0dc6f5e5, sigsetsize=0x7070707) = -1 (Invalid argument)
epoll_pwait(epfd=300, events=0x7fd453a98000, maxevents=0xffffffffffffb2b3, timeout=0xfc0d1e74b282, sigmask=0x28447000, sigsetsize=0xffffffff80808080) = -1 (Invalid argument)
