fallocate(fd=282, mode=0x55998f242, offset=4096, len=8) = -1 (Operation not supported)
fallocate(fd=282, mode=0x55998f242, offset=0, len=8) = -1 (Operation not supported)
fallocate(fd=290, mode=0x55998f242, offset=0x2f7578b, len=4) = -1 (Operation not supported)
fallocate(fd=290, mode=0x55998f242, offset=0, len=4096) = -1 (Operation not supported)
fallocate(fd=290, mode=0x55998f242, offset=0, len=8) = -1 (Operation not supported)
fallocate(fd=290, mode=0x55998f242, offset=8, len=0) = -1 (Invalid argument)
fallocate(fd=290, mode=0x55998f242, offset=1, len=251) = -1 (Operation not supported)
fallocate(fd=283, mode=0x55998f242, offset=8, len=4) = -1 (Operation not supported)
fallocate(fd=283, mode=0x55998f242, offset=65, len=8) = -1 (Operation not supported)
fallocate(fd=283, mode=0x55998f242, offset=4096, len=522) = -1 (Operation not supported)
fallocate(fd=283, mode=0x55998f242, offset=0, len=4) = -1 (Operation not supported)
fallocate(fd=285, mode=0x55998f242, offset=4, len=0) = -1 (Invalid argument)
fallocate(fd=285, mode=0x55998f242, offset=4096, len=4) = -1 (Operation not supported)
fallocate(fd=285, mode=0x55998f242, offset=8, len=0x6307ca1) = -1 (Operation not supported)
fallocate(fd=409, mode=0x55998f242, offset=4096, len=4089) = -1 (Operation not supported)
fallocate(fd=409, mode=0x55998f242, offset=104, len=4096) = -1 (Operation not supported)
fallocate(fd=409, mode=0x55998f242, offset=4096, len=3) = -1 (Operation not supported)
fallocate(fd=409, mode=0x55998f242, offset=0, len=4096) = -1 (Operation not supported)
fallocate(fd=409, mode=0x55998f242, offset=0x100000, len=255) = -1 (Operation not supported)
fallocate(fd=395, mode=0x55998f242, offset=1, len=0xececec) = -1 (Operation not supported)
fallocate(fd=395, mode=0x55998f242, offset=8, len=59) = -1 (Operation not supported)
fallocate(fd=395, mode=0x55998f242, offset=0, len=4) = -1 (Operation not supported)
fallocate(fd=395, mode=0x55998f242, offset=17, len=4) = -1 (Operation not supported)
fallocate(fd=395, mode=0x55998f242, offset=0, len=1) = -1 (Operation not supported)
fallocate(fd=395, mode=0x55998f242, offset=0, len=17) = -1 (Operation not supported)
fallocate(fd=410, mode=0x55998f242, offset=0, len=1) = -1 (Operation not supported)
fallocate(fd=410, mode=0x55998f242, offset=4096, len=102) = -1 (Operation not supported)
fallocate(fd=410, mode=0x55998f242, offset=4, len=1) = -1 (Operation not supported)
fallocate(fd=410, mode=0x55998f242, offset=-9, len=0) = -1 (Invalid argument)
fallocate(fd=282, mode=0x55998f242, offset=4092, len=8) = -1 (Operation not supported)
fallocate(fd=282, mode=0x55998f242, offset=8, len=0) = -1 (Invalid argument)
fallocate(fd=390, mode=0x55998f242, offset=8, len=4) = -1 (Operation not supported)
fallocate(fd=390, mode=0x55998f242, offset=0x13b963, len=4) = -1 (Operation not supported)
fallocate(fd=390, mode=0x55998f242, offset=0, len=4) = -1 (Operation not supported)
fallocate(fd=12, mode=0x55998f242, offset=1, len=1) = -1 (Operation not supported)
fallocate(fd=12, mode=0x55998f242, offset=240, len=0) = -1 (Invalid argument)
fallocate(fd=12, mode=0x55998f242, offset=0x3dd0ddba, len=0xfffd) = -1 (Operation not supported)
fallocate(fd=12, mode=0x55998f242, offset=1, len=154) = -1 (Operation not supported)
fallocate(fd=127, mode=0x55998f242, offset=4, len=4096) = -1 (Operation not supported)
fallocate(fd=127, mode=0x55998f242, offset=8, len=8) = -1 (Operation not supported)
fallocate(fd=127, mode=0x55998f242, offset=4, len=0) = -1 (Invalid argument)
fallocate(fd=388, mode=0x55998f242, offset=1, len=8) = -1 (Operation not supported)
fallocate(fd=388, mode=0x55998f242, offset=114, len=4096) = -1 (Operation not supported)
fallocate(fd=388, mode=0x55998f242, offset=4096, len=32) = -1 (Operation not supported)
fallocate(fd=388, mode=0x55998f242, offset=4094, len=1) = -1 (Operation not supported)
fallocate(fd=388, mode=0x55998f242, offset=8, len=8) = -1 (Operation not supported)
fallocate(fd=378, mode=0x55998f242, offset=4096, len=4) = -1 (Operation not supported)
fallocate(fd=378, mode=0x55998f242, offset=241, len=4096) = -1 (Operation not supported)
fallocate(fd=378, mode=0x55998f242, offset=3916, len=0xffffffffa0a0a0a0) = -1 (Invalid argument)
