fchownat(dfd=24, filename="/sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0C0F:07/uevent", user=0x6262ccf7ee, group=0x4000000, flag=0xc8122241a4112c) = -1 (Invalid argument)
fchownat(dfd=350, filename="/proc/sys/net/ipv4/tcp_pacing_ss_ratio", user=2295, group=3076, flag=-1) = -1 (Invalid argument)
fchownat(dfd=350, filename="/proc/27909/arch_status", user=-1, group=17, flag=16384) = -1 (Invalid argument)
fchownat(dfd=350, filename="/sys/devices/virtual/block/loop2/capability", user=8, group=128, flag=4096) = -1 (Read-only file system)
fchownat(dfd=100, filename="/sys/devices/virtual/bdi/7:7/read_ahead_kb", user=0x9e9e9e9e, group=-65, flag=234) = -1 (Invalid argument)
fchownat(dfd=100, filename="/sys/devices/virtual/block/ram6/queue/discard_zeroes_data", user=0xff55, group=-4, flag=0xffffa8) = -1 (Invalid argument)
fchownat(dfd=100, filename="/proc/sys/net/ipv4/nexthop_compat_mode", user=136, group=0x10000, flag=0x1e1e1e1e) = -1 (Invalid argument)
fchownat(dfd=16, filename=".//sys/devices/virtual/block/loop6/dev", user=211, group=2, flag=0xffffefff) = -1 (Invalid argument)
fchownat(dfd=16, filename=".//sys/kernel/slab/bio-200/", user=0xffff, group=-9, flag=0xb90451c1400088) = -1 (Invalid argument)
fchownat(dfd=16, filename="/proc/sys/net/ipv6/conf/default/keep_addr_on_down", user=240, group=0xf779afae75, flag=0) = -1 (Read-only file system)
fchownat(dfd=16, filename="/sys/devices/virtual/block/loop2/uevent", user=-10, group=-4, flag=0x8602400000800) = -1 (Invalid argument)
fchownat(dfd=285, filename="/sys/devices/virtual/block/ram11/queue/read_ahead_kb", user=-10, group=0x3b3b3b3b, flag=0x8000) = -1 (Invalid argument)
fchownat(dfd=285, filename="/sys/devices/virtual/mem/zero/dev", user=0x32ed4378e3f2, group=0x6565, flag=1) = -1 (Invalid argument)
fchownat(dfd=285, filename="/sys/kernel/rcu_normal", user=0x5942, group=0, flag=0x529fa234829b69) = -1 (Invalid argument)
fchownat(dfd=285, filename="/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0012:00/device:2f/adr", user=0x10000080, group=0x6063106c18, flag=-5) = -1 (Invalid argument)
fchownat(dfd=285, filename="/sys/devices/virtual/block/ram15/capability", user=0x9634008000, group=0, flag=0xffffffffb4b4b4b4) = -1 (Invalid argument)
fchownat(dfd=242, filename="/sys/class/pps", user=-7, group=0x10600, flag=0xffff67ffedff77ff) = -1 (Invalid argument)
fchownat(dfd=242, filename="/sys/bus/pci/slots/15/address", user=0, group=0, flag=0xfffffffffff00000) = -1 (Invalid argument)
fchownat(dfd=242, filename="/proc/sys/net/ipv4/conf/eth0/ignore_routes_with_linkdown", user=0x2e4e43cd53, group=127, flag=0x19c942000a080000) = -1 (Invalid argument)
fchownat(dfd=28, filename=".//proc/sys/net/ipv6/conf/eth0/accept_ra_pinfo", user=0x40010000000000, group=0xffffb9ca65cffbdd, flag=0xfffc) = -1 (Invalid argument)
fchownat(dfd=28, filename="/sys/devices/system/memory/memory4/removable", user=30, group=-3, flag=0) = -1 (Read-only file system)
fchownat(dfd=28, filename="/proc/sys/net/ipv4/neigh/lo/mcast_solicit", user=0x4800, group=0xffffe000, flag=0x20000000) = -1 (Invalid argument)
fchownat(dfd=28, filename="/proc/sys/net/ipv4/conf/eth0/accept_redirects", user=23, group=60, flag=0x4b4b4b4b) = -1 (Invalid argument)
fchownat(dfd=28, filename=".//sys/devices/virtual/block/ram5/queue/nr_zones/", user=0x400ffff, group=-10, flag=3903) = -1 (Invalid argument)
fchownat(dfd=28, filename="/proc/sys/net/ipv4/icmp_errors_use_inbound_ifaddr", user=-10, group=0xa002000, flag=0x1d1d1d1d) = -1 (Invalid argument)
fchownat(dfd=384, filename="/sys/kernel/irq/25/name", user=9754, group=0xe4e4e4e4, flag=-2) = -1 (Invalid argument)
fchownat(dfd=384, filename="/sys/devices/msr/format/event", user=-4, group=0xfff9, flag=195) = -1 (Invalid argument)
fchownat(dfd=384, filename="/sys/devices/platform/serial8250/tty/ttyS3/console", user=0x4490202808c, group=0x4440a2941260, flag=0xe3e3e3e3) = -1 (Invalid argument)
fchownat(dfd=12, filename="/sys/devices/LNXSYSTM:00/LNXSYBUS:00/PNP0A08:00/device:04/device:23/adr", user=0xffff0000, group=0x1000000, flag=0xc7d0225872d5) = -1 (Invalid argument)
fchownat(dfd=12, filename="/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0012:00/ndbus0/region0/pfn0.1/block/pmem0/queue/fua", user=256, group=0xffffffc794deaf25, flag=0x45c070584180) = -1 (Invalid argument)
fchownat(dfd=12, filename="/proc/sys/user/max_user_namespaces", user=0x29b33543be, group=0x7027fac0184663fb, flag=0x20000) = -1 (Invalid argument)
fchownat(dfd=12, filename="/sys/devices/virtual/block/ram11/queue/zoned", user=0x100ccc4066a1, group=0x3c42dd9f, flag=0xfffffffe) = -1 (Invalid argument)
fchownat(dfd=12, filename="/sys/devices/system/memory/memory1/valid_zones", user=0x7070707, group=0x1000000, flag=-3) = -1 (Invalid argument)
fchownat(dfd=286, filename=".//sys/devices/virtual/tty/hvc0/uevent/", user=181, group=201, flag=137) = -1 (Invalid argument)
fchownat(dfd=286, filename="/proc/sys/net/ipv4/conf/default/secure_redirects/", user=4096, group=0xffff, flag=230) = -1 (Invalid argument)
fchownat(dfd=286, filename="/sys/devices/virtual/block/ram7/capability", user=0x4000000, group=0xffffefff, flag=63) = -1 (Invalid argument)
fchownat(dfd=9, filename="/proc/sys/net/ipv6/conf/default/mtu", user=0x11c88c0646400660, group=0xd4b39172eb4172, flag=0x102208894e) = -1 (Invalid argument)
fchownat(dfd=9, filename="/proc/27909/task/27909/uid_map", user=-4, group=0xd1093110895d, flag=0x9d9d9d9d) = -1 (Invalid argument)
fchownat(dfd=9, filename="/sys/devices/virtual/block/ram4/queue/read_ahead_kb", user=0x51b847ca2c80a2fc, group=0x99999999, flag=0x1088202241) = -1 (Invalid argument)
fchownat(dfd=307, filename="/proc/sys/net/ipv6/conf/lo/forwarding", user=0x15327400, group=-4, flag=0x28ec21e266fc4e21) = -1 (Invalid argument)
fchownat(dfd=307, filename="/sys/devices/virtual/block/ram9/queue/rotational", user=-7, group=0x9d86343dcc7eb3, flag=0x84c8801e15) = -1 (Invalid argument)
fchownat(dfd=307, filename="/proc/irq/default_smp_affinity", user=-9, group=-6, flag=0x7e026f1399) = -1 (Invalid argument)
