fgetxattr(fd=6, name=0x8, value=0x7fcf410de000, size=8) = -1 (Bad address)
fgetxattr(fd=6, name=0x1, value=0x7fcf408dc000, size=4096) = -1 (Bad address)
fgetxattr(fd=297, name=0x1, value=0x5, size=4096) = -1 (Bad address)
fgetxattr(fd=297, name=0x7fcf408d9000, value=0x7fcf408d9008, size=4087) = -1 (Numerical result out of range)
fgetxattr(fd=297, name=0x7fcf40ade000, value=0x7fcf40ade000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=12, name=0x7fcf408de000, value=0x7fcf408de000, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=12, name=0x0, value=0x7fcf408de000, size=237) = -1 (Bad address)
fgetxattr(fd=12, name=0x4, value=0x7fcf408d9000, size=0x8000) = -1 (Bad address)
fgetxattr(fd=12, name=0x7fcf408de000, value=0x7fcf408de000, size=8) = -1 (Numerical result out of range)
fgetxattr(fd=12, name=0x4, value=0x7fcf408de000, size=4) = -1 (Bad address)
fgetxattr(fd=293, name=0x0, value=0x7fcf40ade000, size=0xb0b0) = -1 (Bad address)
fgetxattr(fd=293, name=0x7fcf40ade000, value=0x7fcf40ade004, size=8) = -1 (Numerical result out of range)
fgetxattr(fd=293, name=0x0, value=0x1, size=108) = -1 (Bad address)
fgetxattr(fd=293, name=0x0, value=0x1, size=4) = -1 (Bad address)
fgetxattr(fd=293, name=0x7fcf408dd000, value=0x7fcf408dd008, size=0) = -1 (Numerical result out of range)
fgetxattr(fd=11, name=0x7fcf408d9000, value=0x7fcf40ade000, size=0x747f5e39) = -1 (Numerical result out of range)
fgetxattr(fd=11, name=0x0, value=0x1, size=0xfffff) = -1 (Bad address)
fgetxattr(fd=11, name=0x7fcf408db000, value=0x7fcf408da000, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=11, name=0x7fcf40ade000, value=0x7fcf40ade000, size=61) = -1 (Numerical result out of range)
fgetxattr(fd=11, name=0x0, value=0x7fcf408da000, size=8) = -1 (Bad address)
fgetxattr(fd=307, name=0x4, value=0x7fcf429e7000, size=124) = -1 (Bad address)
fgetxattr(fd=307, name=0x0, value=0x7fcf408de000, size=8) = -1 (Bad address)
fgetxattr(fd=307, name=0x1, value=0x7fcf408d9000, size=4096) = -1 (Bad address)
fgetxattr(fd=307, name=0x7fcf40ade000, value=0x7fcf40ade000, size=0) = -1 (Numerical result out of range)
fgetxattr(fd=6, name=0x7fcf408d9000, value=0x7fcf408d9001, size=8) = -1 (Numerical result out of range)
fgetxattr(fd=6, name=0x8, value=0x8, size=0x555555) = -1 (Bad address)
fgetxattr(fd=6, name=0x0, value=0x7fcf408d9000, size=0xffff) = -1 (Bad address)
fgetxattr(fd=6, name=0x4, value=0x8, size=0) = -1 (Bad address)
fgetxattr(fd=6, name=0x1, value=0x1, size=1) = -1 (Bad address)
fgetxattr(fd=289, name=0x1, value=0x0, size=0) = -1 (Bad address)
fgetxattr(fd=289, name=0x0, value=0x4, size=-2) = -1 (Bad address)
fgetxattr(fd=289, name=0x4, value=0x4, size=24) = -1 (Bad address)
fgetxattr(fd=289, name=0x7fcf40ade000, value=0x7fcf40ade000, size=95) = -1 (Numerical result out of range)
fgetxattr(fd=289, name=0x0, value=0x1, size=0) = -1 (Bad address)
fgetxattr(fd=309, name=0x1, value=0x2, size=0) = -1 (Bad address)
fgetxattr(fd=309, name=0x1, value=0x2, size=8) = -1 (Bad address)
fgetxattr(fd=309, name=0x8, value=0x7fcf40cde000, size=8) = -1 (Bad address)
