fsetxattr(fd=289, name=0x8, value=0x7fe8fdffa000, size=8, flags=0x0) = -1 (Bad address)
fsetxattr(fd=289, name=0x0, value=0x8, size=8, flags=0x0) = -1 (Bad address)
fsetxattr(fd=289, name=0x8, value=0x7fe8fd9fa000, size=4096, flags=0x0) = -1 (Bad address)
fsetxattr(fd=8, name=0x8, value=0x0, size=8, flags=0x0) = -1 (Bad address)
fsetxattr(fd=8, name=0x0, value=0x7fe8fdbfa000, size=0x40000000, flags=0x0) = -1 (Bad address)
fsetxattr(fd=255, name=0x7fe8fd9f5000, value=0x0, size=8, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=255, name=0x4, value=0xc, size=4, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=255, name=0x7fe8fd9f5000, value=0x7fe8fd9f5000, size=1, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=255, name=0x7fe8fddfa000, value=0x7fe8fddfa008, size=4091, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=255, name=0x7fe8fddfa000, value=0x7fe8fddfa000, size=0, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=255, name=0x7fe8fdbfa000, value=0x7fe8fddfa000, size=248, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=300, name=0x4, value=0x7fe8fd9fa000, size=1, flags=0x0) = -1 (Bad address)
fsetxattr(fd=300, name=0x1, value=0x0, size=125, flags=0x0) = -1 (Bad address)
fsetxattr(fd=88, name=0x7fe8fd9f5000, value=0x7fe8fd9f5001, size=4096, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=88, name=0x1, value=0x7fe8fd9f6000, size=11, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=88, name=0x7fe8fd9fa000, value=0x7fe8fd9fa000, size=4, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=308, name=0x8, value=0x9, size=4096, flags=0x0) = -1 (Bad address)
fsetxattr(fd=308, name=0x0, value=0x0, size=4, flags=0x0) = -1 (Bad address)
fsetxattr(fd=308, name=0x4, value=0x8, size=4, flags=0x0) = -1 (Bad address)
fsetxattr(fd=306, name=0x4, value=0x7fe8fdbfa000, size=0xb91466, flags=0x0) = -1 (Bad address)
fsetxattr(fd=306, name=0x7fe8fd9fa000, value=0x0, size=8, flags=0x0) = -1 (Numerical result out of range)
