futex(uaddr=0x562880c19b00, op=0x5, val=1, utime=0x7f4d78c4f000, uaddr2=0x562880c19880, val3=3) = 0
futex(uaddr=0x7f4d7904f000, op=0x1, val=0x20202020, utime=0x8, uaddr2=0x7f4d7a957000, val3=38) = 0
futex(uaddr=0x562880c19c40, op=0xc, val=0x7fffffff, utime=0x7f4d7884f000, uaddr2=0x562880c19ce0, val3=-10) = -1 (Invalid argument)
futex(uaddr=0x562880c197e0, op=0x180, val=1, utime=0x1, uaddr2=0x562880c19a60, val3=0x2a2a2a2a) = -1 (Bad address)
futex(uaddr=0x7f4d7884d000, op=0x2, val=-29, utime=0x4, uaddr2=0x7f4d78f4f000, val3=512) = -1 (Function not implemented)
futex(uaddr=0x562880c19ce0, op=0x5, val=1, utime=0x0, uaddr2=0x562880c19b00, val3=4) = 0
futex(uaddr=0x562880c19660, op=0x6, val=0x71506d3563896a51, utime=0x4, uaddr2=0x562880c19ce0, val3=0xffff) = -1 (Bad address)
futex(uaddr=0x7f4d7a959000, op=0x3, val=0x15151515, utime=0x7f4d7904f000, uaddr2=0x7f4d7a958000, val3=0xfffb) = 0
futex(uaddr=0x562880c199c0, op=0x6, val=112, utime=0x7f4d7884e000, uaddr2=0x562880c199c0, val3=206) = -1 (No such process)
futex(uaddr=0x7f4d7884f000, op=0x4, val=0, utime=0x4, uaddr2=0x7f4d78c4f000, val3=0x20000) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7f4d7a957000, op=0x4, val=0x5a585858, utime=0x0, uaddr2=0x7f4d78f4f000, val3=16384) = -1 (Resource temporarily unavailable)
futex(uaddr=0x562880c19c40, op=0x1, val=0x7fffffff, utime=0x0, uaddr2=0x562880c19660, val3=9768) = 0
futex(uaddr=0x562880c19b00, op=0x5, val=1, utime=0x1, uaddr2=0x562880c19d80, val3=6) = 0
futex(uaddr=0x562880c199c0, op=0x5, val=1, utime=0x4, uaddr2=0x562880c19660, val3=6) = 0
