futex_waitv(waiters=0x20000000, nr_futexes=0xfefefefe, flags=0, timeout=-168, clockid=210) = -1 (Function not implemented)
futex_waitv(waiters=0x90c8812722e0, nr_futexes=1542, flags=0, timeout=0x1545503207e51c96, clockid=-78) = -1 (Function not implemented)
futex_waitv(waiters=0xffff, nr_futexes=53, flags=0, timeout=0xffff, clockid=0x60606060) = -1 (Function not implemented)
futex_waitv(waiters=175, nr_futexes=-5, flags=0, timeout=185, clockid=0x2000000) = -1 (Function not implemented)
futex_waitv(waiters=0x2c2c2c2c, nr_futexes=0xa16d, flags=0, timeout=0xffff0000, clockid=0x26262000) = -1 (Function not implemented)
futex_waitv(waiters=0xf2f2f2f2, nr_futexes=0xfffb, flags=0, timeout=-513, clockid=0x20000000) = -1 (Function not implemented)
futex_waitv(waiters=0, nr_futexes=0x800000, flags=0, timeout=131, clockid=0xc53d73069b2498) = -1 (Function not implemented)
futex_waitv(waiters=0x8880400600100, nr_futexes=0xfff6, flags=0, timeout=35, clockid=70) = -1 (Function not implemented)
futex_waitv(waiters=255, nr_futexes=0, flags=0, timeout=-2, clockid=0x56565656) = -1 (Function not implemented)
futex_waitv(waiters=3, nr_futexes=0x831000018990, flags=0, timeout=-8, clockid=4096) = -1 (Function not implemented)
futex_waitv(waiters=2, nr_futexes=0xffffd83b926136a7, flags=0, timeout=0xd7d7d7d7, clockid=117) = -1 (Function not implemented)
futex_waitv(waiters=-4, nr_futexes=0xde3101ba88, flags=0, timeout=0xee11a940763ba2, clockid=2) = -1 (Function not implemented)
futex_waitv(waiters=0xe000, nr_futexes=0xc6c6c6c6, flags=0, timeout=0x100000000100, clockid=0xdf466c03a53ea7) = -1 (Function not implemented)
futex_waitv(waiters=0xcb32, nr_futexes=0xfffa, flags=0, timeout=0xa5ac7b, clockid=0xfffff6809d8020ba) = -1 (Function not implemented)
futex_waitv(waiters=0xffff0000, nr_futexes=0xffff, flags=0, timeout=0xfff9, clockid=0xecdf) = -1 (Function not implemented)
futex_waitv(waiters=0x20000, nr_futexes=0xffff0000, flags=0, timeout=0xfffd, clockid=0x5684109f79eb7b81) = -1 (Function not implemented)
futex_waitv(waiters=149, nr_futexes=0x2000220040aa4004, flags=0, timeout=-8, clockid=0xbd496ab463) = -1 (Function not implemented)
futex_waitv(waiters=0x139cbe1b4a8c02b0, nr_futexes=78, flags=0, timeout=0x1a8d66e043648f54, clockid=-150) = -1 (Function not implemented)
futex_waitv(waiters=0xffffff9fc8cee567, nr_futexes=255, flags=0, timeout=29, clockid=-1) = -1 (Function not implemented)
futex_waitv(waiters=255, nr_futexes=-8, flags=0, timeout=-1029, clockid=0) = -1 (Function not implemented)
futex_waitv(waiters=0x66666666, nr_futexes=0, flags=0, timeout=9, clockid=0x19001e4053e52c) = -1 (Function not implemented)
futex_waitv(waiters=0, nr_futexes=0x5da0d9441d9822ec, flags=0, timeout=0x8000000, clockid=0x7d958a) = -1 (Function not implemented)
futex_waitv(waiters=0x220906446420c280, nr_futexes=0x20000000, flags=0, timeout=0x36e696e1, clockid=0x2aa63441c0d40) = -1 (Function not implemented)
futex_waitv(waiters=201, nr_futexes=0x4bc543a60501df7b, flags=0, timeout=0x400000, clockid=0xb5949494) = -1 (Function not implemented)
futex_waitv(waiters=0xffff, nr_futexes=48, flags=0, timeout=71, clockid=-8) = -1 (Function not implemented)
futex_waitv(waiters=0x10000004, nr_futexes=0xfffffffa, flags=0, timeout=0xc9c9c9c9, clockid=83) = -1 (Function not implemented)
futex_waitv(waiters=124, nr_futexes=0x200000, flags=0, timeout=16, clockid=0x5ad4) = -1 (Function not implemented)
futex_waitv(waiters=-8, nr_futexes=0x100000, flags=0, timeout=0xf816, clockid=0x8000) = -1 (Function not implemented)
futex_waitv(waiters=0xfffffff9, nr_futexes=190, flags=0, timeout=-7, clockid=0x18181818) = -1 (Function not implemented)
futex_waitv(waiters=-4, nr_futexes=0, flags=0, timeout=0, clockid=157) = -1 (Function not implemented)
futex_waitv(waiters=128, nr_futexes=8, flags=0, timeout=0x3bb517ee744c6054, clockid=0xffffff37) = -1 (Function not implemented)
futex_waitv(waiters=640, nr_futexes=7913, flags=0, timeout=-6, clockid=16384) = -1 (Function not implemented)
futex_waitv(waiters=0x10001, nr_futexes=8193, flags=0, timeout=0, clockid=10) = -1 (Function not implemented)
futex_waitv(waiters=6689, nr_futexes=0x8000, flags=0, timeout=0x36363636, clockid=0xf521856d1e) = -1 (Function not implemented)
futex_waitv(waiters=237, nr_futexes=-4, flags=0, timeout=-6, clockid=211) = -1 (Function not implemented)
futex_waitv(waiters=0xbf75, nr_futexes=0, flags=0, timeout=0xffff0000, clockid=0x1e084a334211588a) = -1 (Function not implemented)
futex_waitv(waiters=0xd97a64b0273c, nr_futexes=0x59a37082, flags=0, timeout=0x102002000, clockid=0x7d7d7d7d) = -1 (Function not implemented)
futex_waitv(waiters=16, nr_futexes=-5, flags=0, timeout=0xc71a67fa63a62, clockid=-9) = -1 (Function not implemented)
futex_waitv(waiters=256, nr_futexes=-8, flags=0, timeout=92, clockid=106) = -1 (Function not implemented)
futex_waitv(waiters=0x75969e7643e75292, nr_futexes=-6, flags=0, timeout=0xfffffff8, clockid=0xc37ca797f8) = -1 (Function not implemented)
futex_waitv(waiters=0xbfbf, nr_futexes=-4, flags=0, timeout=75, clockid=0x2000000) = -1 (Function not implemented)
futex_waitv(waiters=16, nr_futexes=-9, flags=0, timeout=0x8080808, clockid=0xa9a9a9a9) = -1 (Function not implemented)
futex_waitv(waiters=0xd7d7d7d7, nr_futexes=181, flags=0, timeout=0x104066, clockid=-9) = -1 (Function not implemented)
futex_waitv(waiters=100, nr_futexes=0x6d6d, flags=0, timeout=0xfff8, clockid=0x200000) = -1 (Function not implemented)
futex_waitv(waiters=0x39393939, nr_futexes=-60, flags=0, timeout=0x5441e96541, clockid=160) = -1 (Function not implemented)
futex_waitv(waiters=12, nr_futexes=0xfffffffff4f4f4f4, flags=0, timeout=-104, clockid=0x9bab6659dd64) = -1 (Function not implemented)
futex_waitv(waiters=0xa4da142024a11e, nr_futexes=0x7fff, flags=0, timeout=-2, clockid=0x6890f8d46455b3ed) = -1 (Function not implemented)
futex_waitv(waiters=0x67676767, nr_futexes=220, flags=0, timeout=0xff6f0459e895d502, clockid=0x9e75) = -1 (Function not implemented)
futex_waitv(waiters=0xa7a7a7a7, nr_futexes=128, flags=0, timeout=0x258e4cbf65c0ceab, clockid=0x70707070) = -1 (Function not implemented)
futex_waitv(waiters=0x40000001, nr_futexes=0x48000004, flags=0, timeout=0x4802802283, clockid=0x2000000) = -1 (Function not implemented)
futex_waitv(waiters=151, nr_futexes=0x6c6c3b3127, flags=0, timeout=0x8022b8570e94, clockid=0x7922e91b67) = -1 (Function not implemented)
futex_waitv(waiters=0x961f4d97ec1a, nr_futexes=0x2d980915a780702, flags=0, timeout=0xac9bd0a7df64f1db, clockid=0x70707070) = -1 (Function not implemented)
futex_waitv(waiters=512, nr_futexes=0x481c336b49724a, flags=0, timeout=256, clockid=-1) = -1 (Function not implemented)
futex_waitv(waiters=0x1a1a1a1a, nr_futexes=166, flags=0, timeout=0x200020012220, clockid=0x516aff3f) = -1 (Function not implemented)
futex_waitv(waiters=230, nr_futexes=0x9f5f, flags=0, timeout=0xc945a2, clockid=0x26262626) = -1 (Function not implemented)
futex_waitv(waiters=1024, nr_futexes=0x800000, flags=0, timeout=0x6e6e6e6e, clockid=0xfffffff9) = -1 (Function not implemented)
futex_waitv(waiters=22, nr_futexes=0xb0717cec3d, flags=0, timeout=85, clockid=0xc4440440a51500) = -1 (Function not implemented)
futex_waitv(waiters=0xffff, nr_futexes=75, flags=0, timeout=0xffff, clockid=1) = -1 (Function not implemented)
futex_waitv(waiters=255, nr_futexes=0x2b2b2b2b, flags=0, timeout=0x139367a82b8f723c, clockid=0x784ffa4856d9f9) = -1 (Function not implemented)
futex_waitv(waiters=0x1120808501fe67f3, nr_futexes=0xbdfb3322203689, flags=0, timeout=0xffffffff1f1f1f20, clockid=0xfff7) = -1 (Function not implemented)
futex_waitv(waiters=0, nr_futexes=0xffbe, flags=0, timeout=0x800000000, clockid=0) = -1 (Function not implemented)
futex_waitv(waiters=0xe6e6, nr_futexes=0xd73a2d7b3df920, flags=0, timeout=-6, clockid=0x1250092284a) = -1 (Function not implemented)
futex_waitv(waiters=-7, nr_futexes=0x30abb814290000, flags=0, timeout=54, clockid=110) = -1 (Function not implemented)
futex_waitv(waiters=0, nr_futexes=0x20411a9205210acb, flags=0, timeout=0xff5b, clockid=0xfffffffb) = -1 (Function not implemented)
