io_cancel(ctx_id=0x1001a0118050, iocb=0x7fd611c88000, result=0x7fd60fd7f000) = -1 (Invalid argument)
io_cancel(ctx_id=0, iocb=0x4, result=0xc) = -1 (Bad address)
io_cancel(ctx_id=0xadadadad, iocb=0x4, result=0x4) = -1 (Bad address)
io_cancel(ctx_id=8, iocb=0x7fd60fb7f000, result=0x7fd60fb7f004) = -1 (Invalid argument)
io_cancel(ctx_id=-5, iocb=0x4, result=0xc) = -1 (Bad address)
io_cancel(ctx_id=0x9eb0, iocb=0x0, result=0x4) = -1 (Bad address)
io_cancel(ctx_id=0x8f8f8f8f, iocb=0x7fd60ff7f000, result=0x0) = -1 (Invalid argument)
io_cancel(ctx_id=0, iocb=0x0, result=0x7fd61017f000) = -1 (Bad address)
io_cancel(ctx_id=0x43065d0b6a84, iocb=0x0, result=0x7fd60fb7a000) = -1 (Bad address)
io_cancel(ctx_id=0xfffffffff0000000, iocb=0x8, result=0x7fd61037f000) = -1 (Bad address)
io_cancel(ctx_id=0x2000000000000, iocb=0x4, result=0x7fd60fb7f000) = -1 (Bad address)
io_cancel(ctx_id=0xffd0, iocb=0x4, result=0x4) = -1 (Bad address)
io_cancel(ctx_id=120, iocb=0x4, result=0x7fd611c89000) = -1 (Bad address)
io_cancel(ctx_id=233, iocb=0x7fd60fb7b000, result=0x7fd60fb7b001) = -1 (Invalid argument)
io_cancel(ctx_id=0x430508a0, iocb=0x7fd60fb7f000, result=0x7fd60fb7f001) = -1 (Invalid argument)
io_cancel(ctx_id=-133, iocb=0x7fd60fb7a000, result=0x7fd60fb7f000) = -1 (Invalid argument)
io_cancel(ctx_id=0x804022a000184, iocb=0x7fd60fb7b000, result=0x7fd60fb7b004) = -1 (Invalid argument)
io_cancel(ctx_id=0x8000010000, iocb=0x7fd611c88000, result=0x7fd611c88004) = -1 (Invalid argument)
io_cancel(ctx_id=0xfffffffffffdffff, iocb=0x7fd611c89000, result=0x7fd60fb7f000) = -1 (Invalid argument)
io_cancel(ctx_id=-10, iocb=0x7fd60fb7f000, result=0x7fd60fb7d000) = -1 (Invalid argument)
io_cancel(ctx_id=0xffffffffe3e3e3e4, iocb=0x4, result=0x7fd60ff7f000) = -1 (Bad address)
io_cancel(ctx_id=0xe835a59b16, iocb=0x1, result=0x7fd60fd7f000) = -1 (Bad address)
io_cancel(ctx_id=35, iocb=0x7fd60fb7b000, result=0x7fd60fb7b000) = -1 (Invalid argument)
io_cancel(ctx_id=0x34343434, iocb=0x7fd60ff7f000, result=0x0) = -1 (Invalid argument)
io_cancel(ctx_id=31, iocb=0x0, result=0x1) = -1 (Bad address)
io_cancel(ctx_id=2861, iocb=0x0, result=0x0) = -1 (Bad address)
io_cancel(ctx_id=-9, iocb=0x7fd60fb7e000, result=0x7fd60fb7e001) = -1 (Invalid argument)
io_cancel(ctx_id=77, iocb=0x0, result=0x7fd61027f000) = -1 (Bad address)
io_cancel(ctx_id=0x4286210004, iocb=0x7fd61037f000, result=0x7fd611c88000) = -1 (Invalid argument)
io_cancel(ctx_id=0x2800429c26, iocb=0x0, result=0x4) = -1 (Bad address)
io_cancel(ctx_id=0xa230045ac4841c, iocb=0x4, result=0x7fd61027f000) = -1 (Bad address)
