io_getevents(ctx_id=0xbfbfbfbf, min_nr=1, nr=1024, events=0x8, timeout=0x7fa255aba000) = -1 (Invalid argument)
io_getevents(ctx_id=0xa8a8a8a8, min_nr=4096, nr=181, events=0x4, timeout=0x5) = -1 (Bad address)
io_getevents(ctx_id=0xebababab, min_nr=4096, nr=1, events=0x7fa2541b1000, timeout=0x7fa2539ad000) = -1 (Invalid argument)
io_getevents(ctx_id=-4, min_nr=249, nr=10, events=0x4, timeout=0x0) = -1 (Invalid argument)
io_getevents(ctx_id=0xe4e6d822f, min_nr=2, nr=8, events=0x7fa2539b1000, timeout=0x7fa2539b1001) = -1 (Invalid argument)
io_getevents(ctx_id=64, min_nr=8, nr=1, events=0x0, timeout=0x7fa2541b1000) = -1 (Invalid argument)
io_getevents(ctx_id=-6, min_nr=0, nr=4, events=0x0, timeout=0x7fa253db1000) = -1 (Invalid argument)
io_getevents(ctx_id=0x510494890c1428, min_nr=4095, nr=0x10a000, events=0x7fa253bb1000, timeout=0x7fa253bb1004) = -1 (Invalid argument)
io_getevents(ctx_id=14336, min_nr=4, nr=4096, events=0x7fa2539ac000, timeout=0x7fa253bb1000) = -1 (Invalid argument)
io_getevents(ctx_id=-5, min_nr=-5, nr=0, events=0x4, timeout=0x7fa253bb1000) = -1 (Invalid argument)
io_getevents(ctx_id=0x89e18002, min_nr=1, nr=0, events=0x0, timeout=0x7fa2539ae000) = -1 (Invalid argument)
io_getevents(ctx_id=0x7975c3a648, min_nr=1, nr=4, events=0x7fa2539b1000, timeout=0x7fa253bb1000) = -1 (Invalid argument)
io_getevents(ctx_id=230, min_nr=8, nr=4096, events=0x7fa2539b0000, timeout=0x7fa255aba000) = -1 (Invalid argument)
io_getevents(ctx_id=0xffffe000, min_nr=1, nr=8, events=0x1, timeout=0x5) = -1 (Bad address)
io_getevents(ctx_id=255, min_nr=8192, nr=3300, events=0x7fa2539af000, timeout=0x7fa253db1000) = -1 (Invalid argument)
io_getevents(ctx_id=-4, min_nr=15934, nr=4, events=0x0, timeout=0x1) = -1 (Bad address)
io_getevents(ctx_id=0x6480204702048810, min_nr=4096, nr=1, events=0x7fa2539ad000, timeout=0x7fa2540b1000) = -1 (Invalid argument)
io_getevents(ctx_id=0x8000, min_nr=0xc0a0100, nr=8, events=0x8, timeout=0x7fa2539ae000) = -1 (Invalid argument)
io_getevents(ctx_id=0xc3c3c3c3, min_nr=548, nr=4, events=0x7fa2539ac000, timeout=0x7fa255abb000) = -1 (Invalid argument)
io_getevents(ctx_id=0x3e3e3e3e, min_nr=119, nr=0xfffff7, events=0x7fa2539af000, timeout=0x7fa2539af000) = -1 (Invalid argument)
io_getevents(ctx_id=3, min_nr=8, nr=0xffffffffcececece, events=0x7fa2539ac000, timeout=0x0) = -1 (Invalid argument)
io_getevents(ctx_id=0x12142137, min_nr=4096, nr=1, events=0x0, timeout=0x7fa253db1000) = -1 (Invalid argument)
io_getevents(ctx_id=0x60006a7, min_nr=240, nr=4096, events=0x1, timeout=0x5) = -1 (Bad address)
