io_submit(ctx_id=0x4c8a990f630e0a, nr=0x1fff7f, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=0xfffffffffc000000, nr=1, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=59, nr=56, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=0xffffffffffbfffff, nr=4096, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0x44808c9104, nr=4096, iocbpp=0x7f1ae9ee4000) = -1 (Invalid argument)
io_submit(ctx_id=4, nr=0x4141400, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0xcf02c48fff509109, nr=1, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=-9, nr=1, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0x8f8f8f8f, nr=4, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=0xff72, nr=0x3fffff, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=55, nr=1, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=16384, nr=2, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0x9056b08418, nr=1, iocbpp=0x7f1ae9ce4000) = -1 (Invalid argument)
io_submit(ctx_id=0xfffffff6, nr=8, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=16, nr=0, iocbpp=0x7f1aea1e4000) = -1 (Invalid argument)
io_submit(ctx_id=146, nr=43, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0xffffe000, nr=0x796a4c, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=2, nr=8, iocbpp=0x7f1ae9ae0000) = -1 (Invalid argument)
io_submit(ctx_id=-6, nr=4, iocbpp=0x7f1ae9ee4000) = -1 (Invalid argument)
io_submit(ctx_id=0xfffffffc, nr=0xacac, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0x38383838, nr=1, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=-8, nr=4, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0xfffffff7, nr=4096, iocbpp=0x7f1aea0e4000) = -1 (Invalid argument)
io_submit(ctx_id=0xfffffffb, nr=0x9797, iocbpp=0x7f1ae9ae1000) = -1 (Invalid argument)
io_submit(ctx_id=0, nr=4096, iocbpp=0x7f1aea1e4000) = -1 (Invalid argument)
io_submit(ctx_id=0xb8b8b8b8, nr=4086, iocbpp=0x7f1aea2e4000) = -1 (Invalid argument)
io_submit(ctx_id=-1, nr=8, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=0xf25d0824ad, nr=0, iocbpp=0x7f1aebbee000) = -1 (Invalid argument)
io_submit(ctx_id=148, nr=1, iocbpp=0x7f1ae9ee4000) = -1 (Invalid argument)
io_submit(ctx_id=0x15959595, nr=-5, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=0x3090c1aa82, nr=4096, iocbpp=0x7f1ae9ee4000) = -1 (Invalid argument)
io_submit(ctx_id=-3, nr=1, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=-2, nr=0x588b0803, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0x170d67c212c16819, nr=4096, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0xffffffff11111111, nr=0xfffff9, iocbpp=0x7f1aea0e4000) = -1 (Invalid argument)
io_submit(ctx_id=0x21a206c510, nr=8, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0x6060606, nr=1024, iocbpp=0x7f1ae9adf000) = -1 (Invalid argument)
io_submit(ctx_id=0xf0f0007a0851002, nr=1, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=1, nr=10, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=4, nr=1, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0, nr=0xfff9, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=0x100000a2, nr=1, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0x64000000, nr=1, iocbpp=0x7f1ae9ce4000) = -1 (Invalid argument)
io_submit(ctx_id=0x40000000, nr=4096, iocbpp=0x7f1ae9ae0000) = -1 (Invalid argument)
io_submit(ctx_id=16, nr=201, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=1023, nr=4096, iocbpp=0x7f1ae9ae0000) = -1 (Invalid argument)
io_submit(ctx_id=0x4c4c4c4c, nr=0, iocbpp=0x7f1ae9ee4000) = -1 (Invalid argument)
io_submit(ctx_id=0x60606060, nr=0, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=2048, nr=0xfff9, iocbpp=0x7f1ae9ae0000) = -1 (Invalid argument)
io_submit(ctx_id=-21, nr=1, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=-9, nr=4096, iocbpp=0x7f1aea2e4000) = -1 (Invalid argument)
io_submit(ctx_id=0xffff0002, nr=0xff00, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=-6, nr=4, iocbpp=0x7fcbc8f38000) = -1 (Invalid argument)
io_submit(ctx_id=92, nr=4, iocbpp=0x7fcbc8e38000) = -1 (Invalid argument)
io_submit(ctx_id=0x4100, nr=4096, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0x8004000201800, nr=0x79bd, iocbpp=0x7fcbc8838000) = -1 (Invalid argument)
io_submit(ctx_id=0x43434343, nr=4096, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=0x200fffe, nr=4, iocbpp=0x7fcbc8a38000) = -1 (Invalid argument)
io_submit(ctx_id=0, nr=3, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=255, nr=132, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=183, nr=1, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=64, nr=110, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0x10000, nr=4, iocbpp=0x7fcbc8836000) = -1 (Invalid argument)
io_submit(ctx_id=0x2b540d3136d6cb50, nr=-10, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=0x400000, nr=4, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=16384, nr=0x44bbfcfc, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=0xb4b4b4, nr=0x4d4d, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=148, nr=128, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=39, nr=4, iocbpp=0x7fcbc8837000) = -1 (Invalid argument)
io_submit(ctx_id=0x2000000, nr=1, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0x166cc2cb64, nr=8, iocbpp=0x7fcbc8834000) = -1 (Invalid argument)
io_submit(ctx_id=0x917f73bef0bf, nr=0, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=0x73df, nr=225, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0x801000100, nr=2762, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0, nr=1, iocbpp=0x7fcbca940000) = -1 (Invalid argument)
io_submit(ctx_id=0x6dc0fa5b69d44848, nr=0xfffff8, iocbpp=0x7fcbc8838000) = -1 (Invalid argument)
io_submit(ctx_id=0x100000, nr=4096, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=0xe0438254d798ba, nr=0x8989898, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=1542, nr=2048, iocbpp=0x7fcbc8838000) = -1 (Invalid argument)
io_submit(ctx_id=16384, nr=152, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=-5, nr=0xffefff, iocbpp=0x7fcbc8a38000) = -1 (Invalid argument)
io_submit(ctx_id=0x4f11000baa251, nr=246, iocbpp=0x7fcbc8c38000) = -1 (Invalid argument)
io_submit(ctx_id=0xfffa, nr=1, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0x40000000, nr=4096, iocbpp=0x7fcbc8833000) = -1 (Invalid argument)
io_submit(ctx_id=-8, nr=-4, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=-1, nr=32, iocbpp=0x7fcbc8e38000) = -1 (Invalid argument)
io_submit(ctx_id=1, nr=4, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=32, nr=4, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=0x426259fca3, nr=250, iocbpp=0x7fcbc8838000) = -1 (Invalid argument)
io_submit(ctx_id=-5, nr=111, iocbpp=0x7fcbc8f38000) = -1 (Invalid argument)
io_submit(ctx_id=-3, nr=1, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0x1294105701c1260, nr=1, iocbpp=0x7fcbc8838000) = -1 (Invalid argument)
io_submit(ctx_id=0xfffffffff5ff7cef, nr=27, iocbpp=0x7fcbc8834000) = -1 (Invalid argument)
io_submit(ctx_id=62, nr=1, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0xfcfcfcfc, nr=0x20000, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=0x100000, nr=0xed92, iocbpp=0x4) = -1 (Invalid argument)
io_submit(ctx_id=0x42424242, nr=1, iocbpp=0x7fcbc8c38000) = -1 (Invalid argument)
io_submit(ctx_id=163, nr=4, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=-2, nr=1, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=0, nr=112, iocbpp=0x7fcbc8a38000) = -1 (Invalid argument)
io_submit(ctx_id=0xb68037b08579, nr=1, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=-17, nr=0xfffffb, iocbpp=0x7fcbc8838000) = -1 (Invalid argument)
io_submit(ctx_id=0x82e7d426120d04, nr=4083, iocbpp=0x7fd534501000) = -1 (Invalid argument)
io_submit(ctx_id=52, nr=0x53535, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=8, nr=1184, iocbpp=0x7fd534301000) = -1 (Invalid argument)
io_submit(ctx_id=-7, nr=1, iocbpp=0x8) = -1 (Invalid argument)
io_submit(ctx_id=0x7803444b9ea, nr=4, iocbpp=0x0) = -1 (Invalid argument)
io_submit(ctx_id=-2, nr=215, iocbpp=0x1) = -1 (Invalid argument)
io_submit(ctx_id=0x80000000, nr=4, iocbpp=0x0) = -1 (Invalid argument)
