io_uring_enter(fd=30, to_submit=0x45454545, min_complete=0x45c2575915fe0353, flags=0x1, sig=0x0, sigsz=0x40000) = -1 (Operation not supported)
io_uring_enter(fd=49, to_submit=0xffff, min_complete=-237, flags=0x1, sig=0x0, sigsz=0x7575) = -1 (Operation not supported)
io_uring_enter(fd=49, to_submit=-147, min_complete=0xefefefef, flags=0x1, sig=0x8, sigsz=152) = -1 (Operation not supported)
io_uring_enter(fd=49, to_submit=-1, min_complete=0xffffe25bd0bfe024, flags=0x1, sig=0x1, sigsz=4) = -1 (Operation not supported)
io_uring_enter(fd=49, to_submit=0x6d3b5a57dd16d5, min_complete=0x22222222, flags=0x1, sig=0x0, sigsz=0xfff9) = -1 (Operation not supported)
io_uring_enter(fd=49, to_submit=255, min_complete=164, flags=0x1, sig=0x4, sigsz=-10777) = -1 (Operation not supported)
io_uring_enter(fd=392, to_submit=0xffffffff06060606, min_complete=-7, flags=0x1, sig=0x0, sigsz=-1) = -1 (Operation not supported)
io_uring_enter(fd=392, to_submit=0x4232952c8e1c85, min_complete=0x800000f, flags=0x1, sig=0x8, sigsz=0xa0a4546829) = -1 (Operation not supported)
io_uring_enter(fd=392, to_submit=1, min_complete=0x234d690178f1b0a7, flags=0x1, sig=0x7f18c9d3c000, sigsz=8) = -1 (Operation not supported)
io_uring_enter(fd=392, to_submit=0x100000, min_complete=0x80000000, flags=0x1, sig=0x7f18c9938000, sigsz=0xffffffffffff6fff) = -1 (Operation not supported)
io_uring_enter(fd=392, to_submit=0xffffffffffff0000, min_complete=-1, flags=0x1, sig=0x0, sigsz=13565) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0x6c6c, min_complete=0xfffffffc, flags=0x1, sig=0x8, sigsz=75) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0x5d74, min_complete=32, flags=0x1, sig=0x1, sigsz=0x44444444) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=2, min_complete=-3, flags=0x1, sig=0x7f18c9f3c000, sigsz=0x120000a4) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0x75c9f72d7143a7, min_complete=255, flags=0x1, sig=0x0, sigsz=-6) = -1 (Operation not supported)
io_uring_enter(fd=405, to_submit=-1, min_complete=-4, flags=0x1, sig=0x7f18c993b000, sigsz=-7) = -1 (Operation not supported)
io_uring_enter(fd=405, to_submit=0x3208c5021f1902a8, min_complete=127, flags=0x1, sig=0x7f18c993a000, sigsz=0x2f2f2f2f) = -1 (Operation not supported)
io_uring_enter(fd=405, to_submit=-1, min_complete=64, flags=0x1, sig=0x7f18ca03c000, sigsz=-4) = -1 (Operation not supported)
io_uring_enter(fd=405, to_submit=-3, min_complete=173, flags=0x1, sig=0x0, sigsz=0x5cf90e1d018f) = -1 (Operation not supported)
io_uring_enter(fd=290, to_submit=0xa6a6, min_complete=-5, flags=0x1, sig=0x7f18ca03c000, sigsz=0xffffffffc3c3c3c4) = -1 (Operation not supported)
io_uring_enter(fd=290, to_submit=0xff97, min_complete=-2, flags=0x1, sig=0x7f18c9d3c000, sigsz=48) = -1 (Operation not supported)
io_uring_enter(fd=290, to_submit=0x80000, min_complete=8, flags=0x1, sig=0x0, sigsz=0x42948) = -1 (Operation not supported)
