io_uring_register(fd=284, opcode=0x0, arg=0x4, nr_args=0x2b80b7c9) = -1 (Operation not supported)
io_uring_register(fd=284, opcode=0x0, arg=0x4, nr_args=0x21c10411ff8a00) = -1 (Operation not supported)
io_uring_register(fd=28, opcode=0x0, arg=0x7f39777ce000, nr_args=0xdededede) = -1 (Operation not supported)
io_uring_register(fd=28, opcode=0x0, arg=0x1, nr_args=0x85858585) = -1 (Operation not supported)
io_uring_register(fd=28, opcode=0x0, arg=0x0, nr_args=0xd000) = -1 (Operation not supported)
io_uring_register(fd=238, opcode=0x0, arg=0x0, nr_args=-7) = -1 (Operation not supported)
io_uring_register(fd=238, opcode=0x0, arg=0x4, nr_args=-2) = -1 (Operation not supported)
io_uring_register(fd=238, opcode=0x0, arg=0x7f39777cb000, nr_args=0xff1a) = -1 (Operation not supported)
io_uring_register(fd=292, opcode=0x0, arg=0x8, nr_args=4096) = -1 (Operation not supported)
io_uring_register(fd=292, opcode=0x0, arg=0x8, nr_args=180) = -1 (Operation not supported)
io_uring_register(fd=292, opcode=0x0, arg=0x8, nr_args=0x105c16d4) = -1 (Operation not supported)
io_uring_register(fd=26, opcode=0x0, arg=0x4, nr_args=0x1bda7617aa6f) = -1 (Operation not supported)
io_uring_register(fd=26, opcode=0x0, arg=0x1, nr_args=0x16758dc620) = -1 (Operation not supported)
io_uring_register(fd=26, opcode=0x0, arg=0x7f3977fd0000, nr_args=-2) = -1 (Operation not supported)
io_uring_register(fd=26, opcode=0x0, arg=0x7f39777d0000, nr_args=128) = -1 (Operation not supported)
io_uring_register(fd=26, opcode=0x0, arg=0x0, nr_args=0x7e75f2aa87) = -1 (Operation not supported)
io_uring_register(fd=408, opcode=0x0, arg=0x0, nr_args=121) = -1 (Operation not supported)
io_uring_register(fd=408, opcode=0x0, arg=0x7f39777d0000, nr_args=0xf0f0f0f0) = -1 (Operation not supported)
io_uring_register(fd=408, opcode=0x0, arg=0x4, nr_args=12628) = -1 (Operation not supported)
io_uring_register(fd=21, opcode=0x0, arg=0x0, nr_args=5457) = -1 (Operation not supported)
io_uring_register(fd=21, opcode=0x0, arg=0x0, nr_args=0x2000000) = -1 (Operation not supported)
io_uring_register(fd=21, opcode=0x0, arg=0x7f3977bd0000, nr_args=0x8e4c3edca8fe) = -1 (Operation not supported)
io_uring_register(fd=21, opcode=0x0, arg=0x7f39777d0000, nr_args=0xffffffff37373738) = -1 (Operation not supported)
io_uring_register(fd=21, opcode=0x0, arg=0x7f39777d0000, nr_args=0xffffffff00000002) = -1 (Operation not supported)
io_uring_register(fd=21, opcode=0x0, arg=0x8, nr_args=2680) = -1 (Operation not supported)
io_uring_register(fd=357, opcode=0x0, arg=0x7f39777cb000, nr_args=0xdcdcdcdc) = -1 (Operation not supported)
io_uring_register(fd=357, opcode=0x0, arg=0x8, nr_args=0xb9b9) = -1 (Operation not supported)
io_uring_register(fd=357, opcode=0x0, arg=0x1, nr_args=16) = -1 (Operation not supported)
io_uring_register(fd=357, opcode=0x0, arg=0x7f39777cb000, nr_args=1) = -1 (Operation not supported)
io_uring_register(fd=357, opcode=0x0, arg=0x0, nr_args=0x978d) = -1 (Operation not supported)
io_uring_register(fd=12, opcode=0x0, arg=0x7f39777ce000, nr_args=0xfffffffffffb8aff) = -1 (Operation not supported)
io_uring_register(fd=12, opcode=0x0, arg=0x7f3977bd0000, nr_args=148) = -1 (Operation not supported)
io_uring_register(fd=12, opcode=0x0, arg=0x0, nr_args=0xf385d33abb072c) = -1 (Operation not supported)
io_uring_register(fd=12, opcode=0x0, arg=0x0, nr_args=9380) = -1 (Operation not supported)
io_uring_register(fd=12, opcode=0x0, arg=0x7f3977ed0000, nr_args=0x90000085) = -1 (Operation not supported)
io_uring_register(fd=12, opcode=0x0, arg=0x0, nr_args=145) = -1 (Operation not supported)
io_uring_register(fd=286, opcode=0x0, arg=0x4, nr_args=0x382329a4453460c0) = -1 (Operation not supported)
io_uring_register(fd=286, opcode=0x0, arg=0x4, nr_args=0x41200128) = -1 (Operation not supported)
io_uring_register(fd=286, opcode=0x0, arg=0x0, nr_args=128) = -1 (Operation not supported)
