mq_timedsend(mqdes=283, u_msg_ptr=0x0, msg_len=127, msg_prio=0x60e0, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=17, u_msg_ptr=0x7fd098f3c000, msg_len=0x3fffe7, msg_prio=0, u_abs_timeout=0x7fd098f3c000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=17, u_msg_ptr=0x7fd099340000, msg_len=1, msg_prio=0x7ff8, u_abs_timeout=0x7fd099340001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=17, u_msg_ptr=0x7fd09b04a000, msg_len=0xf4d000, msg_prio=11436, u_abs_timeout=0x7fd09b04a000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=17, u_msg_ptr=0x7fd098f3d000, msg_len=4, msg_prio=4369, u_abs_timeout=0x7fd099540000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=17, u_msg_ptr=0x4, msg_len=8, msg_prio=0x68e8, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedsend(mqdes=17, u_msg_ptr=0x4, msg_len=1, msg_prio=0, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=343, u_msg_ptr=0x1, msg_len=4, msg_prio=0, u_abs_timeout=0x9) = -1 (Bad address)
mq_timedsend(mqdes=343, u_msg_ptr=0x0, msg_len=1, msg_prio=0x7ffe, u_abs_timeout=0x1) = -1 (Bad address)
mq_timedsend(mqdes=343, u_msg_ptr=0x7fd098f3f000, msg_len=1, msg_prio=0, u_abs_timeout=0x7fd098f3c000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=343, u_msg_ptr=0x7fd099140000, msg_len=4, msg_prio=4883, u_abs_timeout=0x7fd098f40000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=368, u_msg_ptr=0x1, msg_len=4, msg_prio=16, u_abs_timeout=0x7fd099540000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=368, u_msg_ptr=0x7fd09b04a000, msg_len=4, msg_prio=0x7ffd, u_abs_timeout=0x7fd09b04a000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=368, u_msg_ptr=0x7fd099540000, msg_len=8, msg_prio=0x7171, u_abs_timeout=0x7fd099140000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=368, u_msg_ptr=0x7fd09b04a000, msg_len=8, msg_prio=1024, u_abs_timeout=0x7fd099140000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=368, u_msg_ptr=0x7fd099340000, msg_len=4096, msg_prio=0x7ffb, u_abs_timeout=0x7fd099340008) = -1 (Bad file descriptor)
mq_timedsend(mqdes=24, u_msg_ptr=0x8, msg_len=11, msg_prio=7453, u_abs_timeout=0x10) = -1 (Bad address)
mq_timedsend(mqdes=24, u_msg_ptr=0x7fd099340000, msg_len=0x31560000, msg_prio=0x7ff9, u_abs_timeout=0x7fd099140000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=24, u_msg_ptr=0x0, msg_len=4096, msg_prio=128, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=22, u_msg_ptr=0x1, msg_len=0, msg_prio=0, u_abs_timeout=0x5) = -1 (Bad address)
mq_timedsend(mqdes=22, u_msg_ptr=0x8, msg_len=4096, msg_prio=0x6767, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedsend(mqdes=24, u_msg_ptr=0x8, msg_len=1, msg_prio=256, u_abs_timeout=0x10) = -1 (Bad address)
mq_timedsend(mqdes=24, u_msg_ptr=0x7fd098f40000, msg_len=4, msg_prio=0, u_abs_timeout=0x7fd098f40004) = -1 (Bad file descriptor)
mq_timedsend(mqdes=24, u_msg_ptr=0x0, msg_len=4, msg_prio=0, u_abs_timeout=0x7fd098f40000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=302, u_msg_ptr=0x8, msg_len=4096, msg_prio=16, u_abs_timeout=0x7fd098f40000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=302, u_msg_ptr=0x7fd098f40000, msg_len=0x110a1404, msg_prio=0, u_abs_timeout=0x7fd098f40001) = -1 (Bad file descriptor)
