mremap(addr=0x7fcacac6c000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac8d64000, old_len=0x1ad000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x500000) = -1 (Invalid argument)
mremap(addr=0x7fcac9164000, old_len=0x38000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x600000) = -1 (Invalid argument)
mremap(addr=0x7fcac9264000, old_len=0x29000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b64000, old_len=0xea000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6d000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x600000) = -1 (Invalid argument)
mremap(addr=0x7fcac9364000, old_len=0x9f000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcac9164000, old_len=0xda000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac8d64000, old_len=0x13c000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b64000, old_len=0x81000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac9364000, old_len=0xde000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x100000000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x40000000) = -1 (Invalid argument)
mremap(addr=0x7fcac8f64000, old_len=0x19000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x40000000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b61000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x40000000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x600000) = -1 (Invalid argument)
mremap(addr=0x7fcac9364000, old_len=0x1b000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcac9164000, old_len=0x92000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6d000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x100000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b64000, old_len=0x150000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6c000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
