msgctl(msqid=0x847dc5f5bd, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=1895, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0x2b81dc541080f66, cmd=0x2, buf=0x7f2645b40000) = -1 (Invalid argument)
msgctl(msqid=0x55555555, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0xfffb, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xe2dae34, cmd=0x2, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0xffffff49, cmd=0x2, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0xf70a5f4aacba, cmd=0x2, buf=0x7f2645b3f000) = -1 (Invalid argument)
msgctl(msqid=0x1a83782ace1c, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=233, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xffffffff2a2a2a2b, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=188, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x4208828c053822, cmd=0x2, buf=0x7f2646243000) = -1 (Invalid argument)
msgctl(msqid=0x9f9f9f9f, cmd=0x2, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x80000, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x62000000, cmd=0x2, buf=0x7f2645b3f000) = -1 (Invalid argument)
msgctl(msqid=256, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xffffff7f7ffe97be, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=141, cmd=0x2, buf=0x7f2645b41000) = -1 (Invalid argument)
msgctl(msqid=73, cmd=0x2, buf=0x7f2645b40000) = -1 (Invalid argument)
msgctl(msqid=0x37373737, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=22, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0xc000, cmd=0x2, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=-2, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xdfbf97fbeafbeffa, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=9, cmd=0x2, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x8000000, cmd=0x2, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=0xffffe000, cmd=0x2, buf=0x7f2645d43000) = -1 (Invalid argument)
msgctl(msqid=250, cmd=0x2, buf=0x7f2645b3e000) = -1 (Invalid argument)
msgctl(msqid=0x171717, cmd=0x2, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=-3, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0x840fc3bec8, cmd=0x2, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x5000, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=44, cmd=0x2, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=136, cmd=0x2, buf=0x7f2646343000) = -1 (Invalid argument)
msgctl(msqid=-1, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x80503018451a464, cmd=0x2, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=199, cmd=0x2, buf=0x7f2647c4c000) = -1 (Invalid argument)
msgctl(msqid=0xbabababa, cmd=0x2, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=140, cmd=0x2, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=0xff64, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=52, cmd=0x2, buf=0x7f2646243000) = -1 (Invalid argument)
msgctl(msqid=0x63b6561a016511e9, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xacacacac, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x80000, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=-9, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x8080808, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=70, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=11, cmd=0x2, buf=0x7f2646143000) = -1 (Invalid argument)
msgctl(msqid=0xa30001df71, cmd=0x2, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=127, cmd=0x2, buf=0x7f2647c4d000) = -1 (Invalid argument)
msgctl(msqid=0xffffffc598948a5d, cmd=0x1, buf=0x7f2646143000) = -1 (Invalid argument)
msgctl(msqid=0x9d9025dc6997, cmd=0x1, buf=0x7f2645b3f000) = -1 (Invalid argument)
msgctl(msqid=1, cmd=0x1, buf=0x1) = -1 (Bad address)
msgctl(msqid=0x6c91f5f6, cmd=0x1, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=167, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0x77777777, cmd=0x1, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=0xffff804a8ce4e703, cmd=0x1, buf=0x7f2646143000) = -1 (Invalid argument)
msgctl(msqid=46, cmd=0x1, buf=0x7f2645b40000) = -1 (Invalid argument)
msgctl(msqid=0x4000000, cmd=0x1, buf=0x7f2646243000) = -1 (Invalid argument)
msgctl(msqid=117, cmd=0x1, buf=0x8) = -1 (Bad address)
msgctl(msqid=102, cmd=0x1, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=221, cmd=0x1, buf=0x7f2646143000) = -1 (Invalid argument)
msgctl(msqid=0xa000040001, cmd=0x1, buf=0x8) = -1 (Bad address)
msgctl(msqid=25, cmd=0x1, buf=0x1) = -1 (Bad address)
msgctl(msqid=0xe2a8, cmd=0x1, buf=0x7f2646143000) = -1 (Invalid argument)
msgctl(msqid=0x1f52073530ec588c, cmd=0x1, buf=0x7f2647c4b000) = -1 (Invalid argument)
msgctl(msqid=0xffffffff6969696a, cmd=0x1, buf=0x7f2645d43000) = -1 (Invalid argument)
msgctl(msqid=0x10000001008, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0x8000, cmd=0x1, buf=0x8) = -1 (Bad address)
msgctl(msqid=0x4408, cmd=0x1, buf=0x4) = -1 (Bad address)
msgctl(msqid=136, cmd=0x1, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=0x4000000080200088, cmd=0x1, buf=0x7f2645b42000) = -1 (Invalid argument)
msgctl(msqid=0xfffd, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0x5e7dc000, cmd=0x1, buf=0x7f2645d43000) = -1 (Invalid argument)
msgctl(msqid=-10, cmd=0x1, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x44ed503822b0, cmd=0x1, buf=0x7f2645b3e000) = -1 (Invalid argument)
msgctl(msqid=131, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=8192, cmd=0x1, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=-1025, cmd=0x1, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=167, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0xffffffff00000007, cmd=0x1, buf=0x0) = -1 (Bad address)
