name_to_handle_at(fd=282, name=0x0, handle=0x8, mnt_id=0x7fec1272b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=282, name=0x8, handle=0x0, mnt_id=0x7fec1272b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=25, name=0x4, handle=0x7fec1252b000, mnt_id=0x7fec12326000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=25, name=0x7fec12a2b000, handle=0x0, mnt_id=0x7fec1232b000, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=25, name=0x7fec12b2b000, handle=0x7fec12b2b000, mnt_id=0x7fec12b2b004, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=25, name=0x1, handle=0x7fec1232b000, mnt_id=0x0, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=307, name=0x7fec12327000, handle=0x7fec1272b000, mnt_id=0x7fec1232a000, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=307, name=0x7fec1292b000, handle=0x7fec12326000, mnt_id=0x7fec12326008, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=307, name=0x8, handle=0x8, mnt_id=0x10, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=307, name=0x8, handle=0xc, mnt_id=0xd, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=307, name=0x0, handle=0x1, mnt_id=0x1, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=305, name=0x7fec12b2b000, handle=0x7fec12a2b000, mnt_id=0x7fec12327000, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=305, name=0x7fec1232b000, handle=0x0, mnt_id=0x1, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=305, name=0x7fec12327000, handle=0x7fec12327008, mnt_id=0x7fec12327000, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=305, name=0x7fec1252b000, handle=0x7fec1232b000, mnt_id=0x7fec1232b008, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=20, name=0x7fec1232b000, handle=0x7fec1232b001, mnt_id=0x7fec1232b001, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=20, name=0x0, handle=0x0, mnt_id=0x7fec12327000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=20, name=0x8, handle=0x7fec1232b000, mnt_id=0x7fec12326000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=20, name=0x8, handle=0x7fec1232b000, mnt_id=0x7fec12a2b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=20, name=0x7fec1232b000, handle=0x7fec1252b000, mnt_id=0x0, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=20, name=0x4, handle=0xc, mnt_id=0xd, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=343, name=0x7fec1232b000, handle=0x7fec1232b001, mnt_id=0x7fec1232b005, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=343, name=0x4, handle=0x8, mnt_id=0x10, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=25, name=0x7fec14434000, handle=0x7fec14434000, mnt_id=0x7fec14434000, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=25, name=0x0, handle=0x7fec12326000, mnt_id=0x7fec12a2b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=25, name=0x1, handle=0x7fec12327000, mnt_id=0x7fec12327001, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=12, name=0x4, handle=0x7fec12a2b000, mnt_id=0x7fec12a2b008, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=12, name=0x8, handle=0x7fec1232b000, mnt_id=0x7fec1232b001, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=297, name=0x8, handle=0xc, mnt_id=0xc, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=297, name=0x8, handle=0x9, mnt_id=0x0, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=297, name=0x7fec12b2b000, handle=0x7fec12b2b000, mnt_id=0x0, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=297, name=0x1, handle=0x7fec1272b000, mnt_id=0x7fec1272b001, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=297, name=0x0, handle=0x7fec1232b000, mnt_id=0x7fec1232b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=297, name=0x7fec1232b000, handle=0x7fec1232b000, mnt_id=0x7fec1232a000, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=410, name=0x0, handle=0x4, mnt_id=0x7fec12b2b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=410, name=0x0, handle=0x4, mnt_id=0x7fec1292b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=410, name=0x0, handle=0x7fec12327000, mnt_id=0x7fec12a2b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=410, name=0x0, handle=0x0, mnt_id=0x1, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=326, name=0x7fec1252b000, handle=0x7fec1252b004, mnt_id=0x7fec1252b004, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=326, name=0x4, handle=0x4, mnt_id=0x0, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=326, name=0x0, handle=0x7fec1252b000, mnt_id=0x7fec1252b004, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=326, name=0x0, handle=0x7fec1232a000, mnt_id=0x7fec1272b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=326, name=0x7fec12326000, handle=0x7fec12326000, mnt_id=0x7fec12326000, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=326, name=0x7fec14434000, handle=0x7fec14434000, mnt_id=0x7fec12b2b000, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=308, name=0x7fec14433000, handle=0x7fec12326000, mnt_id=0x7fec12326000, flag=0x0) = -1 (Not a directory)
name_to_handle_at(fd=308, name=0x7fec1252b000, handle=0x0, mnt_id=0x4, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=308, name=0x7fec14434000, handle=0x0, mnt_id=0x0, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=308, name=0x1, handle=0x7fec1252b000, mnt_id=0x7fec1232a000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=308, name=0x0, handle=0x7fec1272b000, mnt_id=0x7fec1272b000, flag=0x0) = -1 (Bad address)
name_to_handle_at(fd=308, name=0x7fec1292b000, handle=0x7fec12326000, mnt_id=0x7fec12326008, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=14, name=0x7fec1232b000, handle=0x7fec1232b004, mnt_id=0x7fec1232b00c, flag=0x0) = -1 (No such file or directory)
name_to_handle_at(fd=14, name=0x0, handle=0x0, mnt_id=0x0, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=14, name=0x4, handle=0x5, mnt_id=0x5, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=14, name=0x8, handle=0x0, mnt_id=0x4, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=14, name=0x7fec1272b000, handle=0x7fec1272b008, mnt_id=0x7fec1272b00c, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=379, name=0x8, handle=0x7fec1272b000, mnt_id=0x7fec1272b008, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=379, name=0x0, handle=0x1, mnt_id=0x2, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=379, name=0x7fec12329000, handle=0x7fec12329004, mnt_id=0x7fec12329004, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=379, name=0x7fec12b2b000, handle=0x7fec1232a000, mnt_id=0x7fec12b2b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=379, name=0x7fec1252b000, handle=0x7fec1252b000, mnt_id=0x7fec12b2b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=25, name=0x7fec12327000, handle=0x7fec12b2b000, mnt_id=0x7fec12b2b001, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=25, name=0x1, handle=0x7fec12326000, mnt_id=0x7fec12326000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=63, name=0x0, handle=0x1, mnt_id=0x0, flag=0xffffffffffffff9c) = -1 (Invalid argument)
